epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,879.614,0.978,0.6348,0.85633,0.91925,0.86897,0.91,0.7126,0.79513,0.54562,0.87229,0.000476158,0.000476158,0.000476158
134,886.108,1.05083,0.67368,0.85404,0.92397,0.8711,0.91055,0.7036,0.80624,0.55704,0.87197,0.000467345,0.000467345,0.000467345
135,892.553,1.00289,0.65742,0.86428,0.91089,0.86434,0.90331,0.71049,0.79042,0.56111,0.86973,0.000458611,0.000458611,0.000458611
136,899.029,0.97012,0.64591,0.8627,0.9084,0.86721,0.90693,0.71784,0.7812,0.56523,0.87659,0.000449957,0.000449957,0.000449957
137,905.45,1.00314,0.65313,0.85073,0.88561,0.88523,0.90749,0.71696,0.77905,0.55591,0.87154,0.000441387,0.000441387,0.000441387
138,911.918,1.00167,0.66881,0.85467,0.88564,0.87887,0.9083,0.70806,0.78917,0.57073,0.8659,0.000432901,0.000432901,0.000432901
139,919.311,0.97568,0.65879,0.86954,0.89033,0.882,0.90558,0.71188,0.78303,0.55628,0.86139,0.000424502,0.000424502,0.000424502
140,925.789,1.01632,0.66582,0.85759,0.88835,0.87904,0.90237,0.69834,0.81176,0.57066,0.87035,0.000416193,0.000416193,0.000416193
141,932.5,1.02177,0.65199,0.84877,0.90443,0.87872,0.90225,0.70375,0.80633,0.56569,0.8711,0.000407975,0.000407975,0.000407975
142,939.003,1.02975,0.64904,0.84732,0.89171,0.8808,0.90027,0.70375,0.7984,0.56816,0.87537,0.00039985,0.00039985,0.00039985
143,945.469,1.05544,0.69137,0.85643,0.89812,0.87214,0.90532,0.71161,0.78296,0.55661,0.86315,0.00039182,0.00039182,0.00039182
144,951.963,0.97659,0.64204,0.86051,0.89131,0.87992,0.90388,0.71854,0.77159,0.54877,0.86726,0.000383888,0.000383888,0.000383888
145,958.471,0.97998,0.66006,0.85243,0.89377,0.87808,0.90503,0.71676,0.7609,0.55218,0.86588,0.000376055,0.000376055,0.000376055
146,964.915,0.94385,0.64008,0.86199,0.90271,0.8713,0.90511,0.71337,0.77046,0.54826,0.86706,0.000368322,0.000368322,0.000368322
147,971.372,0.98962,0.64238,0.85113,0.9091,0.86338,0.90325,0.71295,0.77556,0.54295,0.86731,0.000360693,0.000360693,0.000360693
148,977.938,0.98382,0.62871,0.84715,0.88684,0.88742,0.90479,0.70801,0.78163,0.5357,0.87006,0.000353169,0.000353169,0.000353169
149,985.399,0.99743,0.64724,0.85854,0.89963,0.87754,0.90594,0.71473,0.77378,0.53996,0.87074,0.000345752,0.000345752,0.000345752
150,991.909,1.01617,0.65557,0.86039,0.89497,0.88586,0.9032,0.71332,0.76838,0.54597,0.87196,0.000338443,0.000338443,0.000338443
151,998.377,0.92501,0.61055,0.84857,0.90065,0.8772,0.90219,0.71393,0.76954,0.55604,0.87614,0.000331245,0.000331245,0.000331245
152,1005.06,0.98855,0.63357,0.84884,0.89618,0.88028,0.90306,0.71418,0.76189,0.53848,0.86707,0.000324159,0.000324159,0.000324159
153,1011.9,0.91679,0.61207,0.84527,0.89659,0.88103,0.90376,0.71492,0.76418,0.54015,0.86558,0.000317187,0.000317187,0.000317187
154,1018.65,0.97263,0.62675,0.84868,0.90861,0.87532,0.90563,0.71267,0.76605,0.54209,0.86746,0.00031033,0.00031033,0.00031033
155,1025.34,0.95248,0.62075,0.86001,0.91934,0.87529,0.90459,0.71999,0.7683,0.55169,0.871,0.000303591,0.000303591,0.000303591
156,1032.1,1.01356,0.63657,0.85249,0.91867,0.88699,0.90935,0.71881,0.77027,0.53088,0.87024,0.000296971,0.000296971,0.000296971
157,1038.83,0.99593,0.74887,0.88109,0.91271,0.88487,0.908,0.71842,0.76543,0.52746,0.86743,0.000290471,0.000290471,0.000290471
158,1046.18,0.95496,0.64711,0.86426,0.90986,0.88141,0.90428,0.71791,0.7603,0.5247,0.86677,0.000284094,0.000284094,0.000284094
159,1053.36,0.94171,0.61903,0.84943,0.91079,0.8781,0.90595,0.71218,0.77034,0.53805,0.87484,0.000277841,0.000277841,0.000277841
160,1060.1,0.94856,0.60837,0.8462,0.90509,0.87424,0.90562,0.71406,0.761,0.52951,0.8651,0.000271713,0.000271713,0.000271713
161,1066.81,0.95233,0.61683,0.84757,0.91084,0.87801,0.90783,0.712,0.76145,0.53216,0.86386,0.000265712,0.000265712,0.000265712
162,1073.55,0.93987,0.62069,0.8595,0.90259,0.87887,0.90674,0.7131,0.77056,0.54494,0.86598,0.000259839,0.000259839,0.000259839
163,1080.29,0.93788,0.60777,0.84638,0.90761,0.86964,0.90577,0.70894,0.78846,0.5634,0.87626,0.000254096,0.000254096,0.000254096
164,1087.01,0.96551,0.61522,0.84231,0.91894,0.8525,0.90344,0.70109,0.79289,0.56263,0.87499,0.000248484,0.000248484,0.000248484
165,1093.75,1.00114,0.63616,0.85888,0.89044,0.88111,0.90303,0.71542,0.77543,0.55685,0.87036,0.000243005,0.000243005,0.000243005
166,1100.45,0.95141,0.61267,0.8449,0.9041,0.875,0.90339,0.71947,0.75108,0.54209,0.86518,0.00023766,0.00023766,0.00023766
167,1107.17,0.92269,0.60945,0.84741,0.90914,0.87488,0.90388,0.72044,0.75038,0.52627,0.86592,0.00023245,0.00023245,0.00023245
168,1114.89,0.9589,0.61305,0.85497,0.8968,0.88975,0.91062,0.72529,0.76653,0.5332,0.86945,0.000227377,0.000227377,0.000227377
169,1121.81,0.93912,0.60972,0.84639,0.89649,0.87737,0.90856,0.72004,0.76505,0.53191,0.86951,0.000222441,0.000222441,0.000222441
170,1128.57,0.92058,0.59012,0.84384,0.91478,0.87757,0.90736,0.72198,0.76161,0.53488,0.87079,0.000217645,0.000217645,0.000217645
171,1135.29,0.97001,0.65021,0.84944,0.8979,0.87211,0.90204,0.72185,0.76097,0.54268,0.8723,0.000212988,0.000212988,0.000212988
172,1142.02,0.94864,0.59569,0.84151,0.89107,0.88924,0.90848,0.71966,0.77361,0.54071,0.87315,0.000208473,0.000208473,0.000208473
173,1148.71,0.94276,0.60647,0.8423,0.90906,0.88448,0.90722,0.72037,0.75501,0.53073,0.86824,0.000204101,0.000204101,0.000204101
174,1155.42,0.94354,0.63117,0.84623,0.91001,0.88416,0.90586,0.72018,0.75472,0.52111,0.86625,0.000199872,0.000199872,0.000199872
175,1162.15,0.90981,0.58544,0.84332,0.89824,0.88426,0.90502,0.72123,0.76351,0.52155,0.87945,0.000195788,0.000195788,0.000195788
